counter,filename,scan_type,obs_seq,ele,n1,n2
0,mapmaker_POLE1-0-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-0-0,POLE1,0,0
1,mapmaker_POLE1-0-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-0-1,POLE1,0,1
2,mapmaker_POLE1-1-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-1-0,POLE1,1,0
3,mapmaker_POLE1-1-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-1-1,POLE1,1,1
4,mapmaker_POLE1-2-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-2-0,POLE1,2,0
5,mapmaker_POLE1-2-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-2-1,POLE1,2,1
6,mapmaker_POLE1-3-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-3-0,POLE1,3,0
7,mapmaker_POLE1-3-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-3-1,POLE1,3,1
8,mapmaker_POLE1-4-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-4-0,POLE1,4,0
9,mapmaker_POLE1-4-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-4-1,POLE1,4,1
10,mapmaker_POLE1-5-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-5-0,POLE1,5,0
11,mapmaker_POLE1-5-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-5-1,POLE1,5,1
12,mapmaker_POLE1-6-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-6-0,POLE1,6,0
13,mapmaker_POLE1-6-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-6-1,POLE1,6,1
14,mapmaker_POLE1-7-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-7-0,POLE1,7,0
15,mapmaker_POLE1-7-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-7-1,POLE1,7,1
16,mapmaker_POLE1-8-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-8-0,POLE1,8,0
17,mapmaker_POLE1-8-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-8-1,POLE1,8,1
18,mapmaker_POLE1-9-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-9-0,POLE1,9,0
19,mapmaker_POLE1-9-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-9-1,POLE1,9,1
20,mapmaker_POLE1-10-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-10-0,POLE1,10,0
21,mapmaker_POLE1-10-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-10-1,POLE1,10,1
22,mapmaker_POLE1-11-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-11-0,POLE1,11,0
23,mapmaker_POLE1-11-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-11-1,POLE1,11,1
24,mapmaker_POLE1-12-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-12-0,POLE1,12,0
25,mapmaker_POLE1-12-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-12-1,POLE1,12,1
26,mapmaker_POLE1-13-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-13-0,POLE1,13,0
27,mapmaker_POLE1-13-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-13-1,POLE1,13,1
28,mapmaker_POLE1-14-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-14-0,POLE1,14,0
29,mapmaker_POLE1-14-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-14-1,POLE1,14,1
30,mapmaker_POLE1-15-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-15-0,POLE1,15,0
31,mapmaker_POLE1-15-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-15-1,POLE1,15,1
32,mapmaker_POLE1-16-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-16-0,POLE1,16,0
33,mapmaker_POLE1-16-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-16-1,POLE1,16,1
34,mapmaker_POLE1-17-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-17-0,POLE1,17,0
35,mapmaker_POLE1-17-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-17-1,POLE1,17,1
36,mapmaker_POLE1-18-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-18-0,POLE1,18,0
37,mapmaker_POLE1-18-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-18-1,POLE1,18,1
38,mapmaker_POLE1-19-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-19-0,POLE1,19,0
39,mapmaker_POLE1-19-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-19-1,POLE1,19,1
40,mapmaker_POLE1-20-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-20-0,POLE1,20,0
41,mapmaker_POLE1-20-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-20-1,POLE1,20,1
42,mapmaker_POLE1-21-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-21-0,POLE1,21,0
43,mapmaker_POLE1-21-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-21-1,POLE1,21,1
44,mapmaker_POLE1-22-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-22-0,POLE1,22,0
45,mapmaker_POLE1-22-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-22-1,POLE1,22,1
46,mapmaker_POLE1-23-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-23-0,POLE1,23,0
47,mapmaker_POLE1-23-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-23-1,POLE1,23,1
48,mapmaker_POLE1-24-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-24-0,POLE1,24,0
49,mapmaker_POLE1-24-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-24-1,POLE1,24,1
50,mapmaker_POLE1-25-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-25-0,POLE1,25,0
51,mapmaker_POLE1-25-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-25-1,POLE1,25,1
52,mapmaker_POLE1-26-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-26-0,POLE1,26,0
53,mapmaker_POLE1-26-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-26-1,POLE1,26,1
54,mapmaker_POLE1-27-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-27-0,POLE1,27,0
55,mapmaker_POLE1-27-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-27-1,POLE1,27,1
56,mapmaker_POLE1-28-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-28-0,POLE1,28,0
57,mapmaker_POLE1-28-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-28-1,POLE1,28,1
58,mapmaker_POLE1-29-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-29-0,POLE1,29,0
59,mapmaker_POLE1-29-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-29-1,POLE1,29,1
60,mapmaker_POLE1-30-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-30-0,POLE1,30,0
61,mapmaker_POLE1-30-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-30-1,POLE1,30,1
62,mapmaker_POLE1-31-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-31-0,POLE1,31,0
63,mapmaker_POLE1-31-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-31-1,POLE1,31,1
64,mapmaker_POLE1-32-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-32-0,POLE1,32,0
65,mapmaker_POLE1-32-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-32-1,POLE1,32,1
66,mapmaker_POLE1-33-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-33-0,POLE1,33,0
67,mapmaker_POLE1-33-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-33-1,POLE1,33,1
68,mapmaker_POLE1-34-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-34-0,POLE1,34,0
69,mapmaker_POLE1-34-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-34-1,POLE1,34,1
70,mapmaker_POLE1-35-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-35-0,POLE1,35,0
71,mapmaker_POLE1-35-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-35-1,POLE1,35,1
72,mapmaker_POLE1-36-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-36-0,POLE1,36,0
73,mapmaker_POLE1-36-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-36-1,POLE1,36,1
74,mapmaker_POLE1-37-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-37-0,POLE1,37,0
75,mapmaker_POLE1-37-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-37-1,POLE1,37,1
76,mapmaker_POLE1-38-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-38-0,POLE1,38,0
77,mapmaker_POLE1-38-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-38-1,POLE1,38,1
78,mapmaker_POLE1-39-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-39-0,POLE1,39,0
79,mapmaker_POLE1-39-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-39-1,POLE1,39,1
80,mapmaker_POLE1-40-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-40-0,POLE1,40,0
81,mapmaker_POLE1-40-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-40-1,POLE1,40,1
82,mapmaker_POLE1-41-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-41-0,POLE1,41,0
83,mapmaker_POLE1-41-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-41-1,POLE1,41,1
84,mapmaker_POLE1-42-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-42-0,POLE1,42,0
85,mapmaker_POLE1-42-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-42-1,POLE1,42,1
86,mapmaker_POLE1-43-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-43-0,POLE1,43,0
87,mapmaker_POLE1-43-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-43-1,POLE1,43,1
88,mapmaker_POLE1-44-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-44-1,POLE1,44,1
89,mapmaker_POLE1-45-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-45-0,POLE1,45,0
90,mapmaker_POLE1-45-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-45-1,POLE1,45,1
91,mapmaker_POLE1-46-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-46-0,POLE1,46,0
92,mapmaker_POLE1-46-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE1-46-1,POLE1,46,1
