counter,filename,scan_type,obs_seq,ele,n1,n2
0,mapmaker_RISING_SCAN_40-0-2_noiseweighted_map_nside4096.fits.gz,RISING,40-0-2,40,0,2
1,mapmaker_RISING_SCAN_40-0-3_noiseweighted_map_nside4096.fits.gz,RISING,40-0-3,40,0,3
2,mapmaker_RISING_SCAN_40-0-5_noiseweighted_map_nside4096.fits.gz,RISING,40-0-5,40,0,5
3,mapmaker_RISING_SCAN_40-4-3_noiseweighted_map_nside4096.fits.gz,RISING,40-4-3,40,4,3
4,mapmaker_RISING_SCAN_40-4-5_noiseweighted_map_nside4096.fits.gz,RISING,40-4-5,40,4,5
5,mapmaker_RISING_SCAN_40-4-8_noiseweighted_map_nside4096.fits.gz,RISING,40-4-8,40,4,8
6,mapmaker_RISING_SCAN_40-4-10_noiseweighted_map_nside4096.fits.gz,RISING,40-4-10,40,4,10
7,mapmaker_RISING_SCAN_40-4-14_noiseweighted_map_nside4096.fits.gz,RISING,40-4-14,40,4,14
8,mapmaker_RISING_SCAN_40-4-15_noiseweighted_map_nside4096.fits.gz,RISING,40-4-15,40,4,15
9,mapmaker_RISING_SCAN_40-5-2_noiseweighted_map_nside4096.fits.gz,RISING,40-5-2,40,5,2
10,mapmaker_RISING_SCAN_40-5-4_noiseweighted_map_nside4096.fits.gz,RISING,40-5-4,40,5,4
11,mapmaker_RISING_SCAN_40-5-10_noiseweighted_map_nside4096.fits.gz,RISING,40-5-10,40,5,10
12,mapmaker_RISING_SCAN_40-5-12_noiseweighted_map_nside4096.fits.gz,RISING,40-5-12,40,5,12
13,mapmaker_RISING_SCAN_40-5-13_noiseweighted_map_nside4096.fits.gz,RISING,40-5-13,40,5,13
14,mapmaker_RISING_SCAN_40-5-15_noiseweighted_map_nside4096.fits.gz,RISING,40-5-15,40,5,15
15,mapmaker_RISING_SCAN_40-6-0_noiseweighted_map_nside4096.fits.gz,RISING,40-6-0,40,6,0
16,mapmaker_RISING_SCAN_40-6-3_noiseweighted_map_nside4096.fits.gz,RISING,40-6-3,40,6,3
17,mapmaker_RISING_SCAN_40-6-4_noiseweighted_map_nside4096.fits.gz,RISING,40-6-4,40,6,4
18,mapmaker_RISING_SCAN_40-6-5_noiseweighted_map_nside4096.fits.gz,RISING,40-6-5,40,6,5
19,mapmaker_RISING_SCAN_40-6-6_noiseweighted_map_nside4096.fits.gz,RISING,40-6-6,40,6,6
20,mapmaker_RISING_SCAN_40-6-12_noiseweighted_map_nside4096.fits.gz,RISING,40-6-12,40,6,12
21,mapmaker_RISING_SCAN_40-6-13_noiseweighted_map_nside4096.fits.gz,RISING,40-6-13,40,6,13
22,mapmaker_RISING_SCAN_40-6-14_noiseweighted_map_nside4096.fits.gz,RISING,40-6-14,40,6,14
23,mapmaker_RISING_SCAN_40-6-15_noiseweighted_map_nside4096.fits.gz,RISING,40-6-15,40,6,15
24,mapmaker_RISING_SCAN_40-6-16_noiseweighted_map_nside4096.fits.gz,RISING,40-6-16,40,6,16
25,mapmaker_RISING_SCAN_40-7-4_noiseweighted_map_nside4096.fits.gz,RISING,40-7-4,40,7,4
26,mapmaker_RISING_SCAN_40-7-5_noiseweighted_map_nside4096.fits.gz,RISING,40-7-5,40,7,5
27,mapmaker_RISING_SCAN_40-7-6_noiseweighted_map_nside4096.fits.gz,RISING,40-7-6,40,7,6
28,mapmaker_RISING_SCAN_40-7-9_noiseweighted_map_nside4096.fits.gz,RISING,40-7-9,40,7,9
29,mapmaker_RISING_SCAN_40-7-10_noiseweighted_map_nside4096.fits.gz,RISING,40-7-10,40,7,10
30,mapmaker_RISING_SCAN_40-7-11_noiseweighted_map_nside4096.fits.gz,RISING,40-7-11,40,7,11
31,mapmaker_RISING_SCAN_40-7-12_noiseweighted_map_nside4096.fits.gz,RISING,40-7-12,40,7,12
32,mapmaker_RISING_SCAN_40-7-14_noiseweighted_map_nside4096.fits.gz,RISING,40-7-14,40,7,14
33,mapmaker_RISING_SCAN_40-8-0_noiseweighted_map_nside4096.fits.gz,RISING,40-8-0,40,8,0
34,mapmaker_RISING_SCAN_40-8-1_noiseweighted_map_nside4096.fits.gz,RISING,40-8-1,40,8,1
35,mapmaker_RISING_SCAN_40-8-3_noiseweighted_map_nside4096.fits.gz,RISING,40-8-3,40,8,3
36,mapmaker_RISING_SCAN_40-8-5_noiseweighted_map_nside4096.fits.gz,RISING,40-8-5,40,8,5
37,mapmaker_RISING_SCAN_40-8-7_noiseweighted_map_nside4096.fits.gz,RISING,40-8-7,40,8,7
38,mapmaker_RISING_SCAN_40-8-10_noiseweighted_map_nside4096.fits.gz,RISING,40-8-10,40,8,10
39,mapmaker_RISING_SCAN_40-8-12_noiseweighted_map_nside4096.fits.gz,RISING,40-8-12,40,8,12
40,mapmaker_RISING_SCAN_40-8-14_noiseweighted_map_nside4096.fits.gz,RISING,40-8-14,40,8,14
41,mapmaker_RISING_SCAN_40-8-15_noiseweighted_map_nside4096.fits.gz,RISING,40-8-15,40,8,15
42,mapmaker_RISING_SCAN_40-9-0_noiseweighted_map_nside4096.fits.gz,RISING,40-9-0,40,9,0
43,mapmaker_RISING_SCAN_40-9-1_noiseweighted_map_nside4096.fits.gz,RISING,40-9-1,40,9,1
44,mapmaker_RISING_SCAN_40-9-2_noiseweighted_map_nside4096.fits.gz,RISING,40-9-2,40,9,2
45,mapmaker_RISING_SCAN_40-9-3_noiseweighted_map_nside4096.fits.gz,RISING,40-9-3,40,9,3
46,mapmaker_RISING_SCAN_40-9-4_noiseweighted_map_nside4096.fits.gz,RISING,40-9-4,40,9,4
47,mapmaker_RISING_SCAN_40-9-6_noiseweighted_map_nside4096.fits.gz,RISING,40-9-6,40,9,6
48,mapmaker_RISING_SCAN_40-9-8_noiseweighted_map_nside4096.fits.gz,RISING,40-9-8,40,9,8
49,mapmaker_RISING_SCAN_40-9-9_noiseweighted_map_nside4096.fits.gz,RISING,40-9-9,40,9,9
50,mapmaker_RISING_SCAN_40-9-10_noiseweighted_map_nside4096.fits.gz,RISING,40-9-10,40,9,10
51,mapmaker_RISING_SCAN_40-9-11_noiseweighted_map_nside4096.fits.gz,RISING,40-9-11,40,9,11
52,mapmaker_RISING_SCAN_40-9-13_noiseweighted_map_nside4096.fits.gz,RISING,40-9-13,40,9,13
53,mapmaker_RISING_SCAN_40-9-14_noiseweighted_map_nside4096.fits.gz,RISING,40-9-14,40,9,14
54,mapmaker_RISING_SCAN_40-9-15_noiseweighted_map_nside4096.fits.gz,RISING,40-9-15,40,9,15
55,mapmaker_RISING_SCAN_40-10-0_noiseweighted_map_nside4096.fits.gz,RISING,40-10-0,40,10,0
56,mapmaker_RISING_SCAN_40-10-1_noiseweighted_map_nside4096.fits.gz,RISING,40-10-1,40,10,1
57,mapmaker_RISING_SCAN_40-10-3_noiseweighted_map_nside4096.fits.gz,RISING,40-10-3,40,10,3
58,mapmaker_RISING_SCAN_40-10-5_noiseweighted_map_nside4096.fits.gz,RISING,40-10-5,40,10,5
59,mapmaker_RISING_SCAN_40-10-7_noiseweighted_map_nside4096.fits.gz,RISING,40-10-7,40,10,7
60,mapmaker_RISING_SCAN_40-10-8_noiseweighted_map_nside4096.fits.gz,RISING,40-10-8,40,10,8
61,mapmaker_RISING_SCAN_40-10-10_noiseweighted_map_nside4096.fits.gz,RISING,40-10-10,40,10,10
62,mapmaker_RISING_SCAN_40-10-12_noiseweighted_map_nside4096.fits.gz,RISING,40-10-12,40,10,12
63,mapmaker_RISING_SCAN_40-11-4_noiseweighted_map_nside4096.fits.gz,RISING,40-11-4,40,11,4
64,mapmaker_RISING_SCAN_40-11-7_noiseweighted_map_nside4096.fits.gz,RISING,40-11-7,40,11,7
65,mapmaker_RISING_SCAN_40-11-9_noiseweighted_map_nside4096.fits.gz,RISING,40-11-9,40,11,9
66,mapmaker_RISING_SCAN_40-11-10_noiseweighted_map_nside4096.fits.gz,RISING,40-11-10,40,11,10
67,mapmaker_RISING_SCAN_40-11-12_noiseweighted_map_nside4096.fits.gz,RISING,40-11-12,40,11,12
68,mapmaker_RISING_SCAN_40-11-13_noiseweighted_map_nside4096.fits.gz,RISING,40-11-13,40,11,13
69,mapmaker_RISING_SCAN_40-11-14_noiseweighted_map_nside4096.fits.gz,RISING,40-11-14,40,11,14
70,mapmaker_RISING_SCAN_40-11-15_noiseweighted_map_nside4096.fits.gz,RISING,40-11-15,40,11,15
71,mapmaker_RISING_SCAN_40-11-16_noiseweighted_map_nside4096.fits.gz,RISING,40-11-16,40,11,16
72,mapmaker_RISING_SCAN_40-12-0_noiseweighted_map_nside4096.fits.gz,RISING,40-12-0,40,12,0
73,mapmaker_RISING_SCAN_40-12-2_noiseweighted_map_nside4096.fits.gz,RISING,40-12-2,40,12,2
74,mapmaker_RISING_SCAN_40-12-3_noiseweighted_map_nside4096.fits.gz,RISING,40-12-3,40,12,3
75,mapmaker_RISING_SCAN_40-12-4_noiseweighted_map_nside4096.fits.gz,RISING,40-12-4,40,12,4
76,mapmaker_RISING_SCAN_40-12-7_noiseweighted_map_nside4096.fits.gz,RISING,40-12-7,40,12,7
77,mapmaker_RISING_SCAN_40-12-8_noiseweighted_map_nside4096.fits.gz,RISING,40-12-8,40,12,8
78,mapmaker_RISING_SCAN_40-12-9_noiseweighted_map_nside4096.fits.gz,RISING,40-12-9,40,12,9
79,mapmaker_RISING_SCAN_40-12-10_noiseweighted_map_nside4096.fits.gz,RISING,40-12-10,40,12,10
